Filename,Ground Truth Transcription,AI Transcription,Levenshtein Distance
M142_1015935949_0008_0009_Back,4 1/2 cols on 5 col base Proofs to Leary in Sunday BOSTON HOUSING SOUTH BOSTON JUL 7 1971 JUL 7 1971,"4 1/2 col
on 5 col base
Proofs to leave
in Sunday

Boston
HOUSING
SOUTH BOSTON

Jul 7 1971
Jul 7 1971",23
M142_1015935949_0008_0020_Back,So. Boston City Point Bandstand Boston JUL 9 1974 PHOTO BY GEORGE RIZER JUL 7 1974,"So. Boston
City Point
Bandstand
Boston
PHOTO BY
GEORGE RIZER
JUL 7 1974",17
M142_1015935949_0008_0024_Back,"PHOTO BY JUL 6 1973 CHARLES DIXON BOSTON Feature: Atlantic St., So. Boston AUG 4 1981 SEP 12 1975 JUL 8 1973 on proof OCT 15 1980 33 x 50 #36 SOUTHIE  Sigcut - foofs + buildings 3 col p. 19","PHOTO BY
CHARLES DIXON
JUL 6 1973

(BOOTOW)
So. Boston

Feature:
Atlantic St.",151
M142_1015935949_0008_0027_Back,"#8 52 agates x 50 +5 Coston GLOBE PHOTO BY Steven Geovanis Pg 3 DATE NEGATIVE TAKEN AUG 15 1976 FOR STORY BY DATE PICTURE USED SUBJECT (L TO R) South Boston Pride Day Joanne Peters 10, comes in first just ahead of Roberta Donovan 11 + Lisa Harrigan 10 AUG 17 1976 LIBRARY INDEXED BOSTON South Boston Day","GLOBE PHOTO BY
Steven Greovani's
AUG 15 1976

DATE NEGATIVE TAKEN

FOR STORY BY

DATE PICTURE USED

SUBJECT (L TO R) South Boston Pride Day
Joanne Peters 10, comes in first just ahead
of Roberta Donovan 11 & Lisa Harrigan 10

LIBRARY INDEXED
Boston
South Boston
Day",84
M142_1015935949_0009_0005_Back,DEC 22 1983 PHOTO BY TED DULLY BOSTON HOUSING The home of Barbara Dapsys a- at 14 Loring St. South Boston DEC 23 1988 18 x 75 #36 +evict P. 21,"DEC 22 1983
PHOTO BY
TED DULLY

Boston Housing

The home of Barbara
Dapsys at 14
Loring St. South
Boston

DEC 23 1983

18 x 75
#36
evict
p.21",34
M142_1015935949_0010_0002_Back,"2n 347 Wash to 15 Province Ct AUG 2 1959 Boston Boston Streets Cypher St 185 ""B"" St to 420 ""E"" St. So. Boston BOSTON SUNDAY GLOBE ROTOGRAVURE SECTION Date  Aug 2  Page 6 2","347 Wash. to 18 Province St.
Boston
Cypher St.

185 ""B"" St. to 420 ""E"" St.
So. Boston

BOSTON SUNDAY GLOBE
ROTogravure SECTION
Oct. 2, 1959
Page 6",65
M142_1015935949_0012_0004_Back,PHOTO BY  JOSEPH RUNCI BOSTON GLOBE OCT 17 1962 SCANNED So End Boston Redevelopment Hingham St near Shawmut S End drunk on sidewalk Castle  Square Bdlg AD CASTLE SQ. III PROOFS  go FEATURE OCT 30 1962 THURS. PM LS Derchot Noleep. Tur A + CASTLE SQ,"PHOTO BY
JOSEPH RUNC!
BOSTON GLOBE

OCT 17 1962

Boston Redevelopment
50 End
ingham St near Shawmut Av
End drunk on sidewalk

Copley Square Area

3 cats
CASTLE 59. III

AD
PROOFS 98 FEATURE

Thurs. PM

LS Perchot Slept.
MR A
CASTLE 59.",94
M142_1015935949_0013_0003_Back,,,0
M142_1015935949_0013_0015_Back,+95 col PHOTO BY GLOBE PHOTO BY WM. RYERSON DATE NEGATIVE TAKEN DEC 6 1976 FOR STORY BY SCANNED DATE PICTURE USED SUBJECT (L TO R)  2 Scarecrows wait for Spring at the Community garden. Portland + Washington Sts South End - Boston Library Indexed BOSTON South End DEC 7 1976,"GLOBE PHOTO BY
W. M. RYERSON

DATE NEGATIVE TAKEN
DEC 6 1976

FOR STORY BY

DATE PICTURE USED
SCANNED

SUBJECT (L TO R)
2 Scarecrows wait for Spring
at the Community garden - Rutland & Washington Sts
South End - Boston

LIBRARY INDEXED
Boston
South End

DEC 7 1976",77
M142_1015935949_0013_0020_Back,PHOTO BY BILL CURTIS PHOTO BY BILL CURTIS OCT 8 1979 SCANNED Roberts - longscope SOUTH END House of Rachel Goldberg + Peter Frenette Boston Housing OCT 30 1979 South End,"PHOTO BY
BILL CURTIS

GLOBE PHOTO BY
BILL CURTIS

OCT 8 1979

SCANNED

ROBERTS - Longcope

SOUTH END
South Boston Home of

Rachel Goldberg & Peter Freneux

Boston Housing

South End

OCT 30 1979",68
M142_1015935949_0013_0022_Back,"PHOTO BY TED DULLY MAY 5 1975 GLOBE PHOTO BY B DATE NEGATIVE TAKEN APR 30 1975 FOR STORY BY SCANNED DATE PICTURE USED SUBJECT (L TO R) Lease of Mr. + Mrs John Harrell, 15 Concord Square House town - South End LIBRARY INDEXED BOSTON Housing So. End","GLOBE PHOTO BY
DATE NEGATIVE TAKEN
APR 30 1975
FOR STORY BY
DATE PICTURE USED
SUBJECT (L TO R)
Harrell, 15 Ancoo Square
House Tour - South End
LIBRARY INDEXED BOSTON Housing So. End",79
M142_1015935949_0013_0023_Back,"Leary Sunday ATTACH TO PRINT ASSIGNMENT: FEB 16 1971 DATE: FEB 4 1971 CAPTION: COPY OF SCANNED HOUSING PLAN, for South End's GRANT Ave Church designed by Bedart Alpers (Print of type) Attach this caption to photo assignment. Turn in duplicate copy.  FORM 409 PHOTO BY JOSEPH RUNCI BOSTON  HOUSING NEW SOUTH END HOUSING BLOCK is depicted in ington, Northampton and East Lennox streets, a non- rendering by Bedar and Alpers for Wash- profit project of Grant A.M. E. Church. PHOTO BY JOSEPH RUNCI FEB 4 1971","ATTACH TO PRINT

ASSIGNMENT:

DATE: FEB 4 1971

CAPTION: Copy of
Housing Plan for
South End's
Grant Ave Church
designed by
Bedar + Alpers

(Photograph or type)

Attach this caption to photo assignment.
Turn in duplicate copy.

PHOTO BY JOSEPH RUNCI

NEW SOUTH END HOUSING BLOCK is depicted in
rendering by architects Bedar and Alpers for Wash-
ington, Northampton and East Lenox streets, a non-
profit project of Grant A.M.E. Church.

PHOTO BY JOSEPH RUNCI
FEB 4 1971",190
M142_1015935949_0014_0008_Back,George Rizer 4-4-85 Arnold Boston S. End Intersection Tremont And Clarendon,"George Rizer
4-4-85
Arnold

Boston
5-End
Intersection
Thomont and Clarendon",13
M142_1015935949_0014_0029_Back,BOSTON South End W. Canton + Columbus SCANNED PHOTO BY MAR 12 1980 TOM LANDERS,,78
M142_1015935949_0015_0004_Back,W. Canton St. - House with Pru Apts  in background Boston SCANNED Housing S. End PHOTO BY TOM LANDERS MAR 12 1980,"W. Carlos St. - House with Pen Arts
in background.
Bottom
Housing
S. End
SCANNED
MAR 12 1980
PHOTO BY
TOM LANDERS",54
M142_1015935949_0015_0011_Back,Bldg So End Center Boston for Alcoholics +  Unattested Persons Closing Soon Col Center Ro 2X SCANNED PHOTO BY CHARLES DIXON JAN 4 1968,"Boston 50 End Center
for Alcoholics

Closing Soon

Unattached Room

Ad Center Rd
21

SCANNED

PHOTO BY
CHARLES DIXON

JAN 4 1968",60
M142_1015935949_0016_0022_Back,FEB 2 '67 Boston Sportsmen Show 1967 SCANNED,"Boston
Sportsmen Show 1967
SCANNED",12
M142_1015935949_0016_0037_Back,Boston Sports Show JAN 26 '69 Log rollers Gene Lagase over Leo Sabourin SCANNED #100  5 cols Sports PHOTO BY PHIL J. CONNELL JAN 24 1970 ,"Boston Sports Show
JAN 26 '69

Log rollers Gene Lagasse
over Leo Labourin

#100
5colr
Sports

SCANNED

PHOTO BY
PAUL J. CONNELL
JAN 24 1970",36
M142_1015935949_0016_0045_Back,FEB 11 '70 VICTOR THE BEAR wrestles his trainer during stage and water show at N.E. Sportsmen's & Camping Show which opens Saturday in Boston's  War Memorial Auditorium xx for nine days. Boston Sports Show,"FEB 11 '70

VICTOR THE BEAR wrestles his trainer during stage and water show at N.E. Sportsmen's & Camping Show which opens Saturday in Boston's War Memorial Auditorium for nine days.

Boston Sports Show",8
