Record ID,Image ,VLM,Text Prompt,Output
M142_1015935949_0001_0103_Back,,Qwen2-VL-7B,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","Along the Charles River, looking toward Lower Storrow drive,
boats lie bottoms up on the dock of a quiet fall night.
Prudential building is the lighted structure on the right.

JAN 14 1971

NEWS PHOTO
By Stanley A. Bauman"
M142_1015935949_0001_0108_Back,,Qwen2-VL-7B,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","PHOTO BY
THOMAS E. LANDERS
OCT 28 1966

ATTACH TO PRINT

ASSIGNMENT:
(Boston) Skyline Night

DATE

CAPTION:
Exspressway traffic heading in town
is heavy as it approaches Kneeland St. and Mass.
Pike entrance (Lower right) Picture was taken
from the Custom House Tower. OCT 29 '66"
M142_1015935949_0002_0003_Back,,Qwen2-VL-7B,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","GLOBE PHOTO BY
BOB DEAN

DATE NEGATIVE TAKEN
AUG 2 1981

FOR STORY BY

DATE PICTURE USED
AUG 10 1981

SUBJECT (L TO R)
Downtown Boston Skyline
Custom House as seen between Harbor Towers

LIBRARY INDEXED
HARBOR 1 SAT RE
AUG 8

AUG 2 1981

PHOTO BY
BOB DEAN"
M142_1015935949_0002_0004_Back,,Qwen2-VL-7B,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","PHOTO BY
JOSEPH RUNCI
OCT 15 1973
Boston waterfront
skyline"
M142_1015935949_0002_0041_Back,,Qwen2-VL-7B,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","PHOTO BY
FRANK O'BRIEN
PHOTO BY
FRANK O'BRIEN
MAR 2 1984
Boston Skyline
1984"
M142_1015935949_0003_0009_Back,,Qwen2-VL-7B,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","PHOTOGRAPHED BY
ELLIS HERWIG
STAFF PHOTOGRAPHER
The Boston Globe

NOV 11 1973

BOSTON SKYLINE - night"
M142_1015935949_0003_0017_Back,,Qwen2-VL-7B,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","FOR FILE
BOSTON SKYLINE 7/91 - Downtown skyline with Beacon Hill at left, and Common
night
1991
Public Gardens
GLOBE STAFF PHOTO BY TOM HERDE
PSK"
M142_1015935949_0004_0012_Back,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","P. 1
12
JUL 18 1989"
M142_1015935949_0004_0017_Back,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","1/27/88
BOSTON SKYLINE
1988
PHOTO J. RATHE
MAY 14 1990"
M142_1015935949_0004_0023_Back,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","#35 2X60 Jacobs P37

GLOBE STAFF PHOTO BY JOHN TLUMACKI

WINTHROP

7/23/91

JUL 25 1991

A Sailboat Passes

by a Logan Airport Runway

as the haze obscures

the Boston Skyline, with

the

Prudential Hancock

Federal Reserve

Towers and Federal Reserve

Bank standing prominently

1991"
M142_1015935949_0004_0030_Back,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","GLOBE STAFF PHOTO BY
JOHN TLUMACKI

East Boston
4/30/94

Best Friends (LtoR)
Noel Abreu, 12, Edwin Molina, 9,
and Elias Carmenatty, 10, from
East Boston sit on the
breakwater off Lopresti
Park watching the boat traffic.

SCANNED"
M142_1015935949_0005_0006_Back,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","Boston
Flans
April 14, 1965
#9 (12 x 35 flash)
+70 x 5
Sat AM."
M142_1015935949_0005_0008_Back,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","Boston
28mm
JUL 30 1965
JUN 18 1965
Boston Globe
photo by
Bob Dean"
M142_1015935949_0005_0021_Back,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","Ruplery

Jan 5 1982

Boston

photo by

William J. Ennis

Boston Globe

Dec 28 1961"
M142_1015935949_0005_0022_Back,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","(Boston Slim)
Roxbury Tenement
Backyard play area is
littered with debris, but
also has tiny garden
(right foreground, inside fence)
May 3 1966"
M142_1015935949_0005_0033_Back,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","Boston Storm Area

Roxbury
Cliff Street

JUL 30 1965

PHOTO BY
CHARLES DIXON

JUN 11 1965"
M142_1015935949_0005_0035_Back,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","Cleanup Story
near alley - Ruggles St. Rox
Boston Plums
AUG 1 1966
FEB 10, 67
AUG 1 1966
photo by
Edward F. Carr"
M142_1015935949_0005_0048_Back,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","Boston
43-45 Haskins St. - Rox.
Penn Storv

PHOTO BY
HERBERT CAPWELL
BOSTON GLOBE

APR 23 1965
APR 21 1965"
M142_1015935949_0005_0056_Back,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","( Boston
Roxbury area

Entrance to
Warwick st. lunch

JUL 29 1966

Warwick 8

APR 23 1966

#5
31150
Mount Flush
+ Shann House

APR 6 1966

31150
Mount Flush
+ Shann House

SCANNED

PHOTO BY
DANNY GOSHTIGIAN"
M142_1015935949_0008_0008_Back,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","First of four sections of modular home in South Boston being
placed on foundation by crane

Boston
Hunting

DEC 15 1970"
M142_1015935949_0008_0009_Back,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","4 1/2 col
on 5 col base
Proofs to leave
in Sunday

Boston
HOUSING
SOUTH BOSTON

Jul 7 1971
Jul 7 1971"
M142_1015935949_0008_0020_Back,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","So. Boston
City Point
Bandstand
Boston
PHOTO BY
GEORGE RIZER
JUL 7 1974"
M142_1015935949_0008_0024_Back,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","PHOTO BY
CHARLES DIXON
JUL 6 1973

(BOOTOW)
So. Boston

Feature:
Atlantic St."
M142_1015935949_0008_0027_Back,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","GLOBE PHOTO BY
Steven Greovani's
AUG 15 1976

DATE NEGATIVE TAKEN

FOR STORY BY

DATE PICTURE USED

SUBJECT (L TO R) South Boston Pride Day
Joanne Peters 10, comes in first just ahead
of Roberta Donovan 11 & Lisa Harrigan 10

LIBRARY INDEXED
Boston
South Boston
Day"
M142_1015935949_0009_0005_Back,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","DEC 22 1983
PHOTO BY
TED DULLY

Boston Housing

The home of Barbara
Dapsys at 14
Loring St. South
Boston

DEC 23 1983

18 x 75
#36
evict
p.21"
M142_1015935949_0010_0002_Back,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","347 Wash. to 18 Province St.
Boston
Cypher St.

185 ""B"" St. to 420 ""E"" St.
So. Boston

BOSTON SUNDAY GLOBE
ROTogravure SECTION
Oct. 2, 1959
Page 6"
M142_1015935949_0012_0004_Back,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","PHOTO BY
JOSEPH RUNC!
BOSTON GLOBE

OCT 17 1962

Boston Redevelopment
50 End
ingham St near Shawmut Av
End drunk on sidewalk

Copley Square Area

3 cats
CASTLE 59. III

AD
PROOFS 98 FEATURE

Thurs. PM

LS Perchot Slept.
MR A
CASTLE 59."
M142_1015935949_0013_0003_Back,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.",
M142_1015935949_0013_0015_Back,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","GLOBE PHOTO BY
W. M. RYERSON

DATE NEGATIVE TAKEN
DEC 6 1976

FOR STORY BY

DATE PICTURE USED
SCANNED

SUBJECT (L TO R)
2 Scarecrows wait for Spring
at the Community garden - Rutland & Washington Sts
South End - Boston

LIBRARY INDEXED
Boston
South End

DEC 7 1976"
M142_1015935949_0013_0020_Back,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","PHOTO BY
BILL CURTIS

GLOBE PHOTO BY
BILL CURTIS

OCT 8 1979

SCANNED

ROBERTS - Longcope

SOUTH END
South Boston Home of

Rachel Goldberg & Peter Freneux

Boston Housing

South End

OCT 30 1979"
M142_1015935949_0013_0022_Back,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","GLOBE PHOTO BY
DATE NEGATIVE TAKEN
APR 30 1975
FOR STORY BY
DATE PICTURE USED
SUBJECT (L TO R)
Harrell, 15 Ancoo Square
House Tour - South End
LIBRARY INDEXED BOSTON Housing So. End"
M142_1015935949_0013_0023_Back,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","ATTACH TO PRINT

ASSIGNMENT:

DATE: FEB 4 1971

CAPTION: Copy of
Housing Plan for
South End's
Grant Ave Church
designed by
Bedar + Alpers

(Photograph or type)

Attach this caption to photo assignment.
Turn in duplicate copy.

PHOTO BY JOSEPH RUNCI

NEW SOUTH END HOUSING BLOCK is depicted in
rendering by architects Bedar and Alpers for Wash-
ington, Northampton and East Lenox streets, a non-
profit project of Grant A.M.E. Church.

PHOTO BY JOSEPH RUNCI
FEB 4 1971"
M142_1015935949_0014_0008_Back,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","George Rizer
4-4-85
Arnold

Boston
5-End
Intersection
Thomont and Clarendon"
M142_1015935949_0014_0029_Back,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.",
M142_1015935949_0015_0004_Back,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","W. Carlos St. - House with Pen Arts
in background.
Bottom
Housing
S. End
SCANNED
MAR 12 1980
PHOTO BY
TOM LANDERS"
M142_1015935949_0015_0011_Back,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","Boston 50 End Center
for Alcoholics

Closing Soon

Unattached Room

Ad Center Rd
21

SCANNED

PHOTO BY
CHARLES DIXON

JAN 4 1968"
,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","Bostm) Bldg
50 East Wurte Center

SCANNED

JUN 25 '67

Senior League
25- Provisionals

Sun June EE
+ Sherman Society
+ 71 again wide
+ again to BMalin
+ again to BMalin
Sun Dept"
M142_1015935949_0016_0022_Back,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","Boston
Sportsmen Show 1967
SCANNED"
M142_1015935949_0016_0037_Back,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","Boston Sports Show
JAN 26 '69

Log rollers Gene Lagasse
over Leo Labourin

#100
5colr
Sports

SCANNED

PHOTO BY
PAUL J. CONNELL
JAN 24 1970"
M142_1015935949_0016_0045_Back,,,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","FEB 11 '70

VICTOR THE BEAR wrestles his trainer during stage and water show at N.E. Sportsmen's & Camping Show which opens Saturday in Boston's War Memorial Auditorium for nine days.

Boston Sports Show"
